age,job,marital,education,housing,loan,contact,month,day_of_week,duration,campaign,poutcome
49.0,technician,married,basic.9y,no,no,telephone,may,mon,24.45,1.0,nonexistent
34.0,admin.,married,high.school,yes,no,telephone,may,mon,3.1333333333333333,2.0,nonexistent
35.0,admin.,married,university.degree,yes,no,telephone,may,mon,3.0,2.0,nonexistent
60.0,admin.,married,high.school,no,yes,telephone,may,mon,3.55,2.0,nonexistent
33.0,unemployed,married,basic.9y,no,no,telephone,may,mon,9.083333333333334,1.0,nonexistent
42.0,blue-collar,married,basic.6y,no,yes,telephone,may,mon,9.716666666666667,1.0,nonexistent
45.0,services,married,professional.course,yes,no,telephone,may,mon,3.683333333333333,1.0,nonexistent
42.0,management,married,university.degree,no,no,telephone,may,mon,7.1,1.0,nonexistent
53.0,admin.,divorced,university.degree,no,no,telephone,may,mon,4.783333333333333,1.0,nonexistent
37.0,technician,single,professional.course,no,no,telephone,may,mon,3.283333333333333,1.0,nonexistent
44.0,blue-collar,married,basic.6y,no,no,telephone,may,mon,4.283333333333333,1.0,nonexistent
54.0,services,married,professional.course,yes,no,telephone,may,mon,3.816666666666667,1.0,nonexistent
49.0,blue-collar,married,basic.4y,no,no,telephone,may,mon,0.9166666666666666,3.0,nonexistent
54.0,services,married,professional.course,no,no,telephone,may,mon,6.666666666666667,1.0,nonexistent
52.0,admin.,divorced,university.degree,no,no,telephone,may,mon,3.283333333333333,1.0,nonexistent
52.0,admin.,divorced,university.degree,no,no,telephone,may,mon,3.1666666666666665,1.0,nonexistent
43.0,services,single,high.school,no,no,telephone,may,mon,0.35,1.0,nonexistent
34.0,housemaid,married,basic.6y,yes,no,telephone,may,mon,5.0,2.0,nonexistent
35.0,admin.,married,high.school,yes,no,telephone,may,mon,2.05,2.0,nonexistent
42.0,entrepreneur,married,professional.course,yes,no,telephone,may,mon,4.883333333333334,1.0,nonexistent
43.0,technician,married,professional.course,yes,yes,telephone,may,mon,5.416666666666667,1.0,nonexistent
60.0,retired,divorced,university.degree,no,no,telephone,may,mon,8.566666666666666,1.0,nonexistent
58.0,unemployed,married,basic.4y,no,no,telephone,may,mon,14.15,2.0,nonexistent
35.0,services,divorced,high.school,yes,no,telephone,may,mon,3.2333333333333334,1.0,nonexistent
55.0,blue-collar,married,basic.9y,yes,no,telephone,may,mon,3.533333333333333,2.0,nonexistent
37.0,management,married,university.degree,no,no,telephone,may,mon,5.616666666666666,2.0,nonexistent
36.0,blue-collar,married,high.school,no,no,telephone,may,mon,4.766666666666667,1.0,nonexistent
52.0,admin.,divorced,university.degree,no,no,telephone,may,mon,4.116666666666666,2.0,nonexistent
57.0,blue-collar,divorced,high.school,yes,no,telephone,may,mon,8.633333333333333,1.0,nonexistent
56.0,admin.,married,basic.9y,yes,no,telephone,may,mon,6.066666666666666,1.0,nonexistent
48.0,blue-collar,divorced,basic.4y,yes,no,telephone,may,mon,2.966666666666667,1.0,nonexistent
40.0,blue-collar,married,high.school,yes,no,telephone,may,mon,1.6333333333333333,1.0,nonexistent
49.0,blue-collar,divorced,high.school,no,no,telephone,may,mon,7.316666666666666,1.0,nonexistent
41.0,services,married,high.school,no,no,telephone,may,mon,2.316666666666667,1.0,nonexistent
45.0,technician,married,high.school,yes,no,telephone,may,mon,1.3166666666666667,1.0,nonexistent
32.0,admin.,married,university.degree,yes,yes,telephone,may,mon,2.9166666666666665,1.0,nonexistent
42.0,admin.,married,university.degree,no,yes,telephone,may,mon,4.366666666666666,2.0,nonexistent
50.0,admin.,married,basic.6y,no,no,telephone,may,mon,1.0166666666666666,1.0,nonexistent
31.0,technician,divorced,professional.course,yes,yes,telephone,may,mon,1.3,1.0,nonexistent
56.0,retired,married,basic.4y,yes,no,telephone,may,mon,1.7,2.0,nonexistent
41.0,technician,married,professional.course,yes,no,telephone,may,mon,9.65,1.0,nonexistent
37.0,blue-collar,married,basic.6y,yes,yes,telephone,may,mon,2.3833333333333333,1.0,nonexistent
41.0,technician,married,professional.course,no,no,telephone,may,mon,11.283333333333333,1.0,nonexistent
35.0,blue-collar,married,professional.course,yes,no,telephone,may,mon,4.45,1.0,nonexistent
37.0,blue-collar,married,basic.6y,yes,no,telephone,may,mon,5.75,1.0,nonexistent
52.0,management,married,university.degree,no,no,telephone,may,mon,3.0833333333333335,1.0,nonexistent
39.0,management,divorced,university.degree,no,no,telephone,may,mon,3.45,1.0,nonexistent
39.0,housemaid,married,basic.4y,no,no,telephone,may,mon,1.15,2.0,nonexistent
56.0,blue-collar,married,basic.4y,no,no,telephone,may,mon,1.6666666666666667,2.0,nonexistent
34.0,services,married,high.school,yes,no,telephone,may,mon,2.0833333333333335,2.0,nonexistent
45.0,blue-collar,married,basic.9y,yes,no,telephone,may,mon,7.683333333333334,1.0,nonexistent
43.0,unemployed,single,university.degree,yes,no,telephone,may,mon,4.0,1.0,nonexistent
56.0,management,married,basic.9y,yes,no,telephone,may,mon,1.1666666666666667,1.0,nonexistent
39.0,management,married,university.degree,yes,no,telephone,may,mon,3.216666666666667,1.0,nonexistent
53.0,blue-collar,married,basic.4y,yes,no,telephone,may,mon,2.2666666666666666,1.0,nonexistent
42.0,blue-collar,married,basic.4y,yes,no,telephone,may,mon,8.8,1.0,nonexistent
42.0,blue-collar,married,basic.4y,no,no,telephone,may,mon,9.016666666666667,1.0,nonexistent
35.0,admin.,single,high.school,yes,no,telephone,may,mon,5.633333333333334,1.0,nonexistent
40.0,admin.,married,university.degree,yes,no,telephone,may,mon,2.716666666666667,1.0,nonexistent
51.0,blue-collar,married,basic.4y,yes,no,telephone,may,mon,1.45,1.0,nonexistent
60.0,blue-collar,married,basic.9y,no,no,telephone,may,mon,5.016666666666667,1.0,nonexistent
56.0,entrepreneur,married,basic.9y,yes,no,telephone,may,mon,0.7666666666666667,1.0,nonexistent
39.0,services,divorced,high.school,yes,no,telephone,may,mon,0.8666666666666667,1.0,nonexistent
56.0,entrepreneur,married,basic.9y,no,no,telephone,may,mon,3.4,1.0,nonexistent
40.0,blue-collar,married,high.school,yes,yes,telephone,may,mon,2.5833333333333335,1.0,nonexistent
36.0,blue-collar,married,basic.9y,yes,yes,telephone,may,mon,1.6333333333333333,1.0,nonexistent
51.0,blue-collar,married,high.school,yes,no,telephone,may,mon,1.1833333333333333,1.0,nonexistent
51.0,blue-collar,married,high.school,no,no,telephone,may,mon,4.05,1.0,nonexistent
43.0,technician,single,professional.course,yes,no,telephone,may,mon,3.1,2.0,nonexistent
59.0,services,married,high.school,no,no,telephone,may,mon,9.65,2.0,nonexistent
24.0,management,single,university.degree,yes,no,telephone,may,mon,2.75,2.0,nonexistent
37.0,blue-collar,single,basic.9y,yes,yes,telephone,may,mon,2.716666666666667,2.0,nonexistent
40.0,blue-collar,married,basic.9y,no,no,telephone,may,mon,0.7666666666666667,1.0,nonexistent
42.0,blue-collar,married,basic.9y,no,no,telephone,may,mon,9.316666666666666,3.0,nonexistent
37.0,entrepreneur,married,basic.6y,no,no,telephone,may,mon,1.4166666666666667,1.0,nonexistent
38.0,services,married,high.school,yes,yes,telephone,may,mon,8.433333333333334,1.0,nonexistent
56.0,admin.,divorced,basic.9y,no,no,telephone,may,mon,1.9,2.0,nonexistent
40.0,blue-collar,married,high.school,no,no,telephone,may,mon,1.9,2.0,nonexistent
54.0,management,divorced,university.degree,yes,no,telephone,may,mon,14.05,2.0,nonexistent
43.0,blue-collar,married,high.school,no,yes,telephone,may,mon,3.0166666666666666,1.0,nonexistent
36.0,services,married,high.school,no,no,telephone,may,mon,7.116666666666666,1.0,nonexistent
45.0,technician,married,university.degree,yes,yes,telephone,may,mon,4.866666666666666,1.0,nonexistent
42.0,admin.,single,university.degree,no,no,telephone,may,mon,3.2,1.0,nonexistent
43.0,services,married,high.school,no,no,telephone,may,mon,1.55,3.0,nonexistent
46.0,management,married,basic.9y,no,no,telephone,may,mon,2.1333333333333333,2.0,nonexistent
44.0,services,married,high.school,yes,yes,telephone,may,mon,1.7833333333333334,1.0,nonexistent
51.0,admin.,single,basic.6y,no,no,telephone,may,mon,5.05,2.0,nonexistent
28.0,services,married,high.school,yes,no,telephone,may,mon,1.35,1.0,nonexistent
37.0,blue-collar,married,basic.9y,no,no,telephone,may,mon,4.5,1.0,nonexistent
34.0,technician,married,high.school,no,no,telephone,may,mon,3.8,1.0,nonexistent
46.0,blue-collar,married,basic.6y,yes,no,telephone,may,mon,4.0,1.0,nonexistent
42.0,blue-collar,married,basic.9y,yes,yes,telephone,may,mon,11.216666666666667,2.0,nonexistent
36.0,admin.,married,university.degree,yes,no,telephone,may,mon,3.8833333333333333,3.0,nonexistent
54.0,blue-collar,married,basic.4y,no,no,telephone,may,mon,1.7,1.0,nonexistent
57.0,management,married,university.degree,no,no,telephone,may,mon,7.683333333333334,1.0,nonexistent
51.0,technician,married,basic.6y,no,no,telephone,may,mon,4.166666666666667,1.0,nonexistent
54.0,retired,married,high.school,no,no,telephone,may,mon,2.1666666666666665,1.0,nonexistent
49.0,blue-collar,married,basic.4y,no,no,telephone,may,mon,4.2,1.0,nonexistent
34.0,admin.,married,university.degree,yes,no,telephone,may,mon,2.3,1.0,nonexistent
41.0,technician,married,professional.course,no,no,telephone,may,mon,6.866666666666666,1.0,nonexistent
38.0,blue-collar,single,basic.9y,yes,no,telephone,may,mon,2.9833333333333334,2.0,nonexistent
45.0,management,divorced,university.degree,no,no,telephone,may,mon,0.31666666666666665,2.0,nonexistent
42.0,technician,married,university.degree,no,no,telephone,may,mon,3.8,2.0,nonexistent
34.0,blue-collar,single,basic.9y,yes,no,telephone,may,mon,0.9166666666666666,1.0,nonexistent
48.0,blue-collar,married,basic.4y,yes,no,telephone,may,mon,11.95,1.0,nonexistent
37.0,admin.,married,high.school,yes,no,telephone,may,mon,5.216666666666667,1.0,nonexistent
34.0,blue-collar,single,basic.9y,no,no,telephone,may,mon,4.816666666666666,1.0,nonexistent
40.0,admin.,married,basic.9y,yes,no,telephone,may,mon,11.383333333333333,2.0,nonexistent
43.0,blue-collar,married,basic.6y,yes,no,telephone,may,mon,17.95,1.0,nonexistent
33.0,services,married,high.school,no,no,telephone,may,mon,2.433333333333333,2.0,nonexistent
32.0,services,single,basic.6y,no,no,telephone,may,mon,2.783333333333333,1.0,nonexistent
39.0,blue-collar,married,high.school,yes,no,telephone,may,mon,5.933333333333334,2.0,nonexistent
43.0,admin.,married,professional.course,no,no,telephone,may,mon,4.616666666666666,1.0,nonexistent
44.0,blue-collar,married,basic.9y,yes,no,telephone,may,mon,2.8666666666666667,1.0,nonexistent
35.0,student,single,university.degree,no,no,telephone,may,mon,3.6333333333333333,1.0,nonexistent
35.0,student,single,university.degree,yes,yes,telephone,may,mon,3.6166666666666667,1.0,nonexistent
35.0,unemployed,married,professional.course,no,no,telephone,may,mon,1.1166666666666667,1.0,nonexistent
36.0,services,single,basic.4y,no,no,telephone,may,mon,4.85,1.0,nonexistent
35.0,student,single,university.degree,yes,no,telephone,may,mon,4.133333333333334,1.0,nonexistent
36.0,student,single,basic.9y,yes,no,telephone,may,mon,4.266666666666667,1.0,nonexistent
55.0,housemaid,divorced,university.degree,no,no,telephone,may,mon,4.766666666666667,1.0,nonexistent
59.0,admin.,married,university.degree,no,no,telephone,may,mon,7.95,1.0,nonexistent
57.0,retired,married,high.school,no,no,telephone,may,mon,10.183333333333334,2.0,nonexistent
39.0,blue-collar,married,professional.course,yes,no,telephone,may,mon,7.85,1.0,nonexistent
39.0,housemaid,married,basic.4y,yes,no,telephone,may,mon,6.35,2.0,nonexistent
30.0,blue-collar,single,high.school,yes,no,telephone,may,mon,4.183333333333334,1.0,nonexistent
30.0,blue-collar,single,high.school,yes,yes,telephone,may,mon,6.8,1.0,nonexistent
50.0,housemaid,married,basic.4y,no,no,telephone,may,mon,4.783333333333333,1.0,nonexistent
40.0,services,married,high.school,no,no,telephone,may,mon,5.366666666666666,3.0,nonexistent
35.0,admin.,married,high.school,yes,no,telephone,may,mon,3.6,2.0,nonexistent
43.0,technician,married,professional.course,no,no,telephone,may,mon,6.1,2.0,nonexistent
36.0,services,single,basic.6y,yes,no,telephone,may,mon,3.5,1.0,nonexistent
46.0,technician,married,basic.4y,yes,no,telephone,may,mon,4.8,1.0,nonexistent
40.0,technician,married,basic.9y,no,no,telephone,may,mon,2.8,1.0,nonexistent
58.0,retired,married,university.degree,no,no,telephone,may,mon,2.2,1.0,nonexistent
42.0,technician,married,university.degree,no,no,telephone,may,mon,1.0666666666666667,2.0,nonexistent
35.0,admin.,single,university.degree,no,no,telephone,may,mon,3.4833333333333334,2.0,nonexistent
43.0,retired,married,basic.4y,no,no,telephone,may,mon,6.833333333333333,3.0,nonexistent
45.0,blue-collar,married,basic.4y,yes,yes,telephone,may,mon,2.95,1.0,nonexistent
39.0,admin.,married,professional.course,yes,no,telephone,may,mon,9.666666666666666,2.0,nonexistent
50.0,services,divorced,professional.course,yes,no,telephone,may,mon,2.75,1.0,nonexistent
32.0,management,divorced,basic.4y,yes,no,telephone,may,mon,2.1166666666666667,2.0,nonexistent
39.0,admin.,married,high.school,no,no,telephone,may,mon,5.95,1.0,nonexistent
52.0,self-employed,married,university.degree,no,no,telephone,may,mon,2.9166666666666665,1.0,nonexistent
44.0,admin.,married,professional.course,yes,no,telephone,may,mon,5.0,1.0,nonexistent
56.0,blue-collar,married,basic.4y,no,no,telephone,may,mon,2.2666666666666666,1.0,nonexistent
48.0,admin.,married,high.school,no,no,telephone,may,mon,2.0833333333333335,2.0,nonexistent
33.0,services,married,high.school,no,yes,telephone,may,mon,3.15,2.0,nonexistent
43.0,management,married,university.degree,no,yes,telephone,may,mon,3.55,3.0,nonexistent
57.0,retired,married,high.school,no,no,telephone,may,mon,3.966666666666667,2.0,nonexistent
36.0,technician,single,professional.course,no,no,telephone,may,mon,2.066666666666667,1.0,nonexistent
34.0,management,married,university.degree,yes,no,telephone,may,mon,0.3,1.0,nonexistent
34.0,services,single,basic.9y,no,no,telephone,may,mon,12.166666666666666,2.0,nonexistent
30.0,technician,married,university.degree,no,no,telephone,may,mon,0.6666666666666666,1.0,nonexistent
33.0,services,divorced,professional.course,no,no,telephone,may,mon,3.0166666666666666,2.0,nonexistent
32.0,technician,single,professional.course,no,no,telephone,may,mon,1.3166666666666667,1.0,nonexistent
36.0,technician,single,high.school,yes,no,telephone,may,mon,2.3666666666666667,2.0,nonexistent
36.0,blue-collar,single,high.school,no,yes,telephone,may,mon,6.483333333333333,1.0,nonexistent
33.0,services,single,high.school,no,no,telephone,may,mon,11.7,1.0,nonexistent
40.0,technician,divorced,professional.course,no,no,telephone,may,mon,2.5166666666666666,1.0,nonexistent
41.0,blue-collar,married,basic.4y,yes,no,telephone,may,mon,3.5166666666666666,1.0,nonexistent
51.0,services,married,basic.6y,yes,no,telephone,may,mon,1.95,1.0,nonexistent
36.0,technician,married,professional.course,yes,no,telephone,may,mon,3.8666666666666667,3.0,nonexistent
28.0,services,married,high.school,no,no,telephone,may,mon,6.8,2.0,nonexistent
53.0,services,married,high.school,yes,yes,telephone,may,mon,6.166666666666667,3.0,nonexistent
58.0,blue-collar,married,basic.9y,yes,no,telephone,may,mon,2.9833333333333334,2.0,nonexistent
45.0,management,married,basic.9y,no,yes,telephone,may,mon,0.7666666666666667,1.0,nonexistent
43.0,technician,married,professional.course,yes,no,telephone,may,mon,3.3333333333333335,1.0,nonexistent
33.0,admin.,married,high.school,no,yes,telephone,may,mon,0.8333333333333334,1.0,nonexistent
33.0,admin.,married,high.school,no,yes,telephone,may,mon,3.0166666666666666,1.0,nonexistent
42.0,technician,married,high.school,no,no,telephone,may,mon,6.016666666666667,1.0,nonexistent
43.0,admin.,divorced,basic.9y,no,no,telephone,may,mon,1.2166666666666666,3.0,nonexistent
42.0,admin.,married,university.degree,no,no,telephone,may,mon,1.1166666666666667,2.0,nonexistent
27.0,blue-collar,single,basic.6y,no,no,telephone,may,mon,5.833333333333333,1.0,nonexistent
34.0,self-employed,single,university.degree,yes,no,telephone,may,mon,2.5,2.0,nonexistent
31.0,student,single,university.degree,no,no,telephone,may,mon,5.533333333333333,2.0,nonexistent
54.0,management,divorced,university.degree,no,no,telephone,may,mon,10.183333333333334,2.0,nonexistent
40.0,self-employed,married,basic.4y,no,no,telephone,may,mon,0.9666666666666667,3.0,nonexistent
52.0,unemployed,married,high.school,yes,no,telephone,may,mon,2.5166666666666666,1.0,nonexistent
47.0,management,divorced,university.degree,no,no,telephone,may,mon,1.4833333333333334,2.0,nonexistent
49.0,housemaid,married,basic.9y,no,no,telephone,may,mon,2.533333333333333,1.0,nonexistent
32.0,admin.,single,high.school,no,no,telephone,may,mon,10.183333333333334,2.0,nonexistent
49.0,housemaid,single,high.school,yes,yes,telephone,may,mon,1.8333333333333333,2.0,nonexistent
50.0,blue-collar,married,basic.9y,no,no,telephone,may,mon,7.716666666666667,1.0,nonexistent
34.0,services,married,high.school,no,no,telephone,may,mon,16.033333333333335,1.0,nonexistent
55.0,blue-collar,married,basic.4y,no,no,telephone,may,mon,1.7,2.0,nonexistent
47.0,technician,single,basic.9y,no,no,telephone,may,mon,0.16666666666666666,4.0,nonexistent
51.0,retired,married,professional.course,no,no,telephone,may,mon,1.9666666666666666,3.0,nonexistent
47.0,blue-collar,married,basic.6y,no,no,telephone,may,mon,1.5333333333333334,2.0,nonexistent
56.0,technician,married,basic.4y,yes,no,telephone,may,mon,2.3833333333333333,3.0,nonexistent
53.0,admin.,married,basic.9y,no,no,telephone,may,mon,3.15,3.0,nonexistent
36.0,blue-collar,married,basic.9y,yes,no,telephone,may,mon,1.25,2.0,nonexistent
42.0,blue-collar,divorced,basic.9y,yes,no,telephone,may,mon,3.15,2.0,nonexistent
44.0,blue-collar,divorced,basic.6y,no,no,telephone,may,mon,0.9166666666666666,2.0,nonexistent
39.0,housemaid,married,basic.9y,yes,no,telephone,may,mon,15.583333333333334,3.0,nonexistent
37.0,admin.,single,high.school,yes,yes,telephone,may,mon,0.9333333333333333,2.0,nonexistent
60.0,blue-collar,married,high.school,yes,no,telephone,may,mon,0.08333333333333333,2.0,nonexistent
36.0,services,married,high.school,no,no,telephone,may,mon,3.75,2.0,nonexistent
42.0,management,divorced,university.degree,yes,no,telephone,may,mon,2.0833333333333335,2.0,nonexistent
31.0,admin.,married,high.school,yes,yes,telephone,may,mon,4.766666666666667,2.0,nonexistent
53.0,technician,divorced,professional.course,no,yes,telephone,may,mon,3.433333333333333,2.0,nonexistent
45.0,blue-collar,married,basic.4y,yes,no,telephone,may,mon,2.7333333333333334,2.0,nonexistent
37.0,technician,single,professional.course,yes,no,telephone,may,mon,1.6333333333333333,2.0,nonexistent
47.0,self-employed,married,professional.course,no,no,telephone,may,mon,7.433333333333334,2.0,nonexistent
49.0,blue-collar,divorced,high.school,no,yes,telephone,may,mon,12.366666666666667,2.0,nonexistent
36.0,admin.,married,university.degree,yes,no,telephone,may,mon,2.0,2.0,nonexistent
35.0,services,divorced,high.school,no,no,telephone,may,mon,2.033333333333333,3.0,nonexistent
38.0,services,single,high.school,no,no,telephone,may,mon,5.95,2.0,nonexistent
50.0,blue-collar,divorced,high.school,no,yes,telephone,may,mon,3.3333333333333335,2.0,nonexistent
59.0,retired,married,professional.course,no,no,telephone,may,mon,1.7833333333333334,2.0,nonexistent
42.0,admin.,married,high.school,yes,no,telephone,may,mon,4.133333333333334,2.0,nonexistent
40.0,admin.,married,basic.6y,yes,no,telephone,may,mon,3.5833333333333335,2.0,nonexistent
46.0,blue-collar,married,professional.course,no,no,telephone,may,mon,3.4833333333333334,2.0,nonexistent
57.0,housemaid,divorced,basic.4y,yes,yes,telephone,may,mon,3.4166666666666665,2.0,nonexistent
42.0,admin.,married,university.degree,yes,no,telephone,may,mon,4.35,3.0,nonexistent
41.0,blue-collar,married,basic.4y,yes,no,telephone,may,mon,1.3833333333333333,2.0,nonexistent
54.0,management,divorced,university.degree,yes,no,telephone,may,mon,1.7666666666666666,3.0,nonexistent
27.0,admin.,single,university.degree,no,no,telephone,may,mon,1.7666666666666666,2.0,nonexistent
36.0,admin.,married,high.school,no,no,telephone,may,mon,1.8,2.0,nonexistent
58.0,blue-collar,married,professional.course,yes,no,telephone,may,mon,3.566666666666667,2.0,nonexistent
40.0,management,married,university.degree,yes,no,telephone,may,mon,5.966666666666667,2.0,nonexistent
34.0,admin.,single,basic.9y,no,no,telephone,may,mon,7.55,2.0,nonexistent
33.0,admin.,divorced,high.school,no,no,telephone,may,mon,6.066666666666666,2.0,nonexistent
56.0,retired,married,basic.6y,no,no,telephone,may,mon,2.2666666666666666,2.0,nonexistent
42.0,blue-collar,married,basic.9y,no,no,telephone,may,mon,2.8833333333333333,2.0,nonexistent
43.0,services,married,high.school,yes,no,telephone,may,mon,4.016666666666667,2.0,nonexistent
54.0,management,single,basic.9y,yes,no,telephone,may,mon,3.7333333333333334,3.0,nonexistent
53.0,admin.,single,basic.6y,yes,yes,telephone,may,mon,2.466666666666667,2.0,nonexistent
42.0,technician,single,professional.course,no,no,telephone,may,mon,3.8333333333333335,2.0,nonexistent
40.0,services,married,basic.6y,no,no,telephone,may,mon,3.316666666666667,3.0,nonexistent
54.0,technician,married,professional.course,yes,yes,telephone,may,mon,3.2666666666666666,2.0,nonexistent
40.0,housemaid,single,professional.course,no,no,telephone,may,mon,1.85,4.0,nonexistent
26.0,admin.,single,university.degree,yes,no,telephone,may,mon,3.85,3.0,nonexistent
33.0,admin.,married,high.school,no,no,telephone,may,mon,5.266666666666667,3.0,nonexistent
35.0,blue-collar,married,basic.9y,no,no,telephone,may,mon,4.0,2.0,nonexistent
36.0,admin.,married,high.school,no,no,telephone,may,mon,11.15,3.0,nonexistent
29.0,services,single,high.school,yes,no,telephone,may,mon,7.083333333333333,2.0,nonexistent
36.0,blue-collar,married,basic.9y,yes,no,telephone,may,mon,2.0166666666666666,2.0,nonexistent
35.0,management,married,high.school,yes,no,telephone,may,mon,2.9,5.0,nonexistent
50.0,self-employed,single,university.degree,no,yes,telephone,may,mon,1.4666666666666666,5.0,nonexistent
46.0,services,married,high.school,yes,no,telephone,may,mon,5.216666666666667,3.0,nonexistent
49.0,entrepreneur,married,high.school,yes,no,telephone,may,mon,2.25,4.0,nonexistent
42.0,technician,single,professional.course,yes,no,telephone,may,mon,2.533333333333333,2.0,nonexistent
36.0,blue-collar,single,high.school,yes,yes,telephone,may,mon,6.7,3.0,nonexistent
